timestamp,CPU Usage,Memory Usage,Disk I/O Operation
2024-06-15 01:26:11.332839,8.5,6671.1796875,10470367
2024-06-15 01:26:13.345000,2.6,6674.19921875,10470388
2024-06-15 01:26:15.360742,0.7,6671.6015625,10470389
2024-06-15 01:26:17.375475,0.8,6670.71484375,10470390
2024-06-15 01:26:19.392246,1.9,6668.54296875,10470396
2024-06-15 01:26:21.408709,0.4,6669.30078125,10470396
2024-06-15 01:26:23.423940,0.8,6668.34765625,10470410
2024-06-15 01:26:25.439912,1.8,6652.70703125,10470427
2024-06-15 01:26:27.449784,7.4,6652.0,10470432
2024-06-15 01:26:29.462568,0.1,6652.7421875,10470525
2024-06-15 01:26:31.474486,0.7,6652.390625,10470528
2024-06-15 01:26:33.487576,0.5,6652.76171875,10470528
2024-06-15 01:26:35.499171,0.5,6653.8984375,10470552
2024-06-15 01:26:37.513289,0.4,6653.93359375,10470576
2024-06-15 01:26:39.529646,1.0,6654.0703125,10470590
2024-06-15 01:26:41.542462,1.0,6653.99609375,10470594
2024-06-15 01:26:43.554802,8.8,6652.375,10470598
2024-06-15 01:26:45.572016,1.5,6651.19140625,10470648
2024-06-15 01:26:47.586578,1.0,6651.51171875,10470665
2024-06-15 01:26:49.600636,1.0,6651.515625,10470666
2024-06-15 01:26:51.615877,1.8,6651.5234375,10470666
2024-06-15 01:26:53.628523,0.8,6651.4375,10470666
2024-06-15 01:26:55.644236,0.4,6651.25390625,10470678
2024-06-15 01:26:57.656586,0.5,6651.19921875,10470678
2024-06-15 01:26:59.666694,2.7,6651.13671875,10470680
2024-06-15 01:27:01.682174,1.8,6651.21875,10470704
2024-06-15 01:27:03.696747,1.7,6650.37890625,10470704
2024-06-15 01:27:05.714122,2.2,6652.8046875,10470718
2024-06-15 01:27:07.726584,0.9,6653.4140625,10470740
2024-06-15 01:27:09.740039,1.2,6653.765625,10470741
